From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (GO),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (molecular function),PubMed ID
DHRS4,Q9BTZ2,reviewed,DHRS4_HUMAN,Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase) (CR) (NADPH-dependent retinol dehydrogenase/reductase) (NRDR) (humNRDR) (Peroxisomal short-chain alcohol dehydrogenase) (PSCD) (SCAD-SRL) (Short chain dehydrogenase/reductase family 25C member 2) (Protein SDR25C2) (Short-chain dehydrogenase/reductase family member 4),DHRS4 SDR25C2 UNQ851/PRO1800,Homo sapiens (Human),278,"cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; 3-keto sterol reductase activity [GO:0000253]; 3beta-hydroxy-5beta-steroid dehydrogenase activity [GO:0033703]; alcohol dehydrogenase [NAD(P)+] activity [GO:0018455]; carbonyl reductase (NADPH) activity [GO:0004090]; identical protein binding [GO:0042802]; NADP-retinol dehydrogenase activity [GO:0052650]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; alcohol metabolic process [GO:0006066]; cellular ketone metabolic process [GO:0042180]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; retinal metabolic process [GO:0042574]; steroid metabolic process [GO:0008202]",alcohol metabolic process [GO:0006066]; cellular ketone metabolic process [GO:0042180]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; retinal metabolic process [GO:0042574]; steroid metabolic process [GO:0008202],cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777],"3-keto sterol reductase activity [GO:0000253]; 3beta-hydroxy-5beta-steroid dehydrogenase activity [GO:0033703]; alcohol dehydrogenase [NAD(P)+] activity [GO:0018455]; carbonyl reductase (NADPH) activity [GO:0004090]; identical protein binding [GO:0042802]; NADP-retinol dehydrogenase activity [GO:0052650]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]",10333503; 15473316; 17230527; 14702039; 12975309; 12508121; 15489334; 18669648; 18571493; 19056333; 19027726; 21269460; 23128527; 22227495; 24275569; 25944712; 27323117
CEP76,Q8TAP6,reviewed,CEP76_HUMAN,Centrosomal protein of 76 kDa (Cep76),CEP76 C18orf9,Homo sapiens (Human),659,centriole [GO:0005814]; centrosome [GO:0005813]; cytosol [GO:0005829]; protein-containing complex [GO:0032991]; regulation of centriole replication [GO:0046599],regulation of centriole replication [GO:0046599],centriole [GO:0005814]; centrosome [GO:0005813]; cytosol [GO:0005829]; protein-containing complex [GO:0032991],,14702039; 16177791; 15489334; 17974005; 14654843; 18691976; 18669648; 19460342; 19690332
MYC,P01106,reviewed,MYC_HUMAN,Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64),MYC BHLHE39,Homo sapiens (Human),439,"chromatin [GO:0000785]; Myc-Max complex [GO:0071943]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; RNA polymerase II transcription repressor complex [GO:0090571]; core promoter sequence-specific DNA binding [GO:0001046]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; E-box binding [GO:0070888]; protein dimerization activity [GO:0046983]; protein-containing complex binding [GO:0044877]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coregulator binding [GO:0001221]; transcription regulator activator activity [GO:0140537]; branching involved in ureteric bud morphogenesis [GO:0001658]; cellular iron ion homeostasis [GO:0006879]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hypoxia [GO:0071456]; cellular response to UV [GO:0034644]; cellular response to xenobiotic stimulus [GO:0071466]; chromatin remodeling [GO:0006338]; chromosome organization [GO:0051276]; energy reserve metabolic process [GO:0006112]; ERK1 and ERK2 cascade [GO:0070371]; fibroblast apoptotic process [GO:0044346]; G1/S transition of mitotic cell cycle [GO:0000082]; MAPK cascade [GO:0000165]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell division [GO:0051782]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of monocyte differentiation [GO:0045656]; negative regulation of stress-activated MAPK cascade [GO:0032873]; negative regulation of transcription by RNA polymerase II [GO:0000122]; oxygen transport [GO:0015671]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of DNA methylation [GO:1905643]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902255]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of metanephric cap mesenchymal cell proliferation [GO:0090096]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of response to DNA damage stimulus [GO:2001022]; positive regulation of telomerase activity [GO:0051973]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein-DNA complex disassembly [GO:0032986]; regulation of cell cycle process [GO:0010564]; regulation of gene expression [GO:0010468]; regulation of somatic stem cell population maintenance [GO:1904672]; regulation of telomere maintenance [GO:0032204]; regulation of transcription by RNA polymerase II [GO:0006357]; response to gamma radiation [GO:0010332]; response to growth factor [GO:0070848]; response to xenobiotic stimulus [GO:0009410]",branching involved in ureteric bud morphogenesis [GO:0001658]; cellular iron ion homeostasis [GO:0006879]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hypoxia [GO:0071456]; cellular response to UV [GO:0034644]; cellular response to xenobiotic stimulus [GO:0071466]; chromatin remodeling [GO:0006338]; chromosome organization [GO:0051276]; energy reserve metabolic process [GO:0006112]; ERK1 and ERK2 cascade [GO:0070371]; fibroblast apoptotic process [GO:0044346]; G1/S transition of mitotic cell cycle [GO:0000082]; MAPK cascade [GO:0000165]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell division [GO:0051782]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of monocyte differentiation [GO:0045656]; negative regulation of stress-activated MAPK cascade [GO:0032873]; negative regulation of transcription by RNA polymerase II [GO:0000122]; oxygen transport [GO:0015671]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of DNA methylation [GO:1905643]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902255]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of metanephric cap mesenchymal cell proliferation [GO:0090096]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of response to DNA damage stimulus [GO:2001022]; positive regulation of telomerase activity [GO:0051973]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein-DNA complex disassembly [GO:0032986]; regulation of cell cycle process [GO:0010564]; regulation of gene expression [GO:0010468]; regulation of somatic stem cell population maintenance [GO:1904672]; regulation of telomere maintenance [GO:0032204]; regulation of transcription by RNA polymerase II [GO:0006357]; response to gamma radiation [GO:0010332]; response to growth factor [GO:0070848]; response to xenobiotic stimulus [GO:0009410],chromatin [GO:0000785]; Myc-Max complex [GO:0071943]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; RNA polymerase II transcription repressor complex [GO:0090571],"core promoter sequence-specific DNA binding [GO:0001046]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; E-box binding [GO:0070888]; protein dimerization activity [GO:0046983]; protein-containing complex binding [GO:0044877]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coregulator binding [GO:0001221]; transcription regulator activator activity [GO:0140537]",6414718; 6321164; 6298632; 6304538; 6419122; 6304729; 6547209; 6714223; 8444346; 14702039; 16421571; 15489334; 3540591; 2166998; 1597196; 8220424; 8386367; 7642555; 9315742; 15103331; 16126174; 15723054; 15674325; 17081983; 17632056; 18035408; 17873522; 17311883; 17308053; 17558397; 18669648; 19413330; 19608861; 20713526; 20010808; 19966300; 20551172; 20068231; 21406692; 22307329; 23186163; 24940000; 25956029; 25803737; 25438055; 25775507; 28112733; 29779948; 34342803; 9680483; 2069907
LMO7,Q8WWI1,reviewed,LMO7_HUMAN,LIM domain only protein 7 (LMO-7) (F-box only protein 20) (LOMP),LMO7 FBX20 FBXO20 KIAA0858,Homo sapiens (Human),1683,apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein ubiquitination [GO:0016567]; regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051],positive regulation of transcription by RNA polymerase II [GO:0045944]; protein ubiquitination [GO:0016567]; regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051],apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151],metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842],11935316; 15057823; 10048485; 12168954; 10531035; 9826547; 17081983; 16964243; 17924679; 18220336; 18691976; 18669648; 19690332; 20068231; 21269460; 21406692; 22814378; 23186163; 24275569; 28112733; 16959974
PBLD,P30039,reviewed,PBLD_HUMAN,Phenazine biosynthesis-like domain-containing protein (EC 5.1.-.-) (MAWD-binding protein) (MAWDBP) (Unknown protein 32 from 2D-page of liver tissue),PBLD MAWBP,Homo sapiens (Human),288,cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; identical protein binding [GO:0042802]; isomerase activity [GO:0016853]; biosynthetic process [GO:0009058]; maintenance of gastrointestinal epithelium [GO:0030277]; negative regulation of SMAD protein signal transduction [GO:0060392]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512],biosynthetic process [GO:0009058]; maintenance of gastrointestinal epithelium [GO:0030277]; negative regulation of SMAD protein signal transduction [GO:0060392]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512],cytoplasm [GO:0005737]; extracellular exosome [GO:0070062],identical protein binding [GO:0042802]; isomerase activity [GO:0016853],14702039; 15164054; 15489334; 11355021; 1286669; 22814378; 24275569; 15806103; 22068589
GPRC5A,Q8NFJ5,reviewed,RAI3_HUMAN,Retinoic acid-induced protein 3 (G-protein coupled receptor family C group 5 member A) (Phorbol ester induced gene 1) (PEIG-1) (Retinoic acid-induced gene 1 protein) (RAIG-1),GPRC5A GPCR5A RAI3 RAIG1,Homo sapiens (Human),357,cytoplasmic vesicle membrane [GO:0030659]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; vesicle [GO:0031982]; cadherin binding [GO:0045296]; G protein-coupled receptor activity [GO:0004930]; protein kinase activator activity [GO:0030295]; negative regulation of epidermal growth factor-activated receptor activity [GO:0007175]; signal transduction [GO:0007165],negative regulation of epidermal growth factor-activated receptor activity [GO:0007175]; signal transduction [GO:0007165],cytoplasmic vesicle membrane [GO:0030659]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; vesicle [GO:0031982],cadherin binding [GO:0045296]; G protein-coupled receptor activity [GO:0004930]; protein kinase activator activity [GO:0030295],8832110; 9857033; 14702039; 15489334; 10783259; 10945465; 18000218; 17924679; 18691976; 18669648; 20068231; 21269460; 23186163; 25311788
NCS1,P62166,reviewed,NCS1_HUMAN,Neuronal calcium sensor 1 (NCS-1) (Frequenin homolog) (Frequenin-like protein) (Frequenin-like ubiquitous protein),NCS1 FLUP FREQ,Homo sapiens (Human),190,axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; calcium ion binding [GO:0005509]; calcium sensitive guanylate cyclase activator activity [GO:0008048]; voltage-gated calcium channel activity [GO:0005245]; regulation of neuron projection development [GO:0010975],regulation of neuron projection development [GO:0010975],axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069],calcium ion binding [GO:0005509]; calcium sensitive guanylate cyclase activator activity [GO:0008048]; voltage-gated calcium channel activity [GO:0005245],15164053; 15489334; 11606724; 12783849; 17555535; 21269460; 25255805; 11092894
CCDC85A,Q96PX6,reviewed,CC85A_HUMAN,Coiled-coil domain-containing protein 85A,CCDC85A KIAA1912,Homo sapiens (Human),553,adherens junction [GO:0005912],,adherens junction [GO:0005912],,11572484; 15815621; 25009281
HMCN2,Q8NDA2,reviewed,HMCN2_HUMAN,Hemicentin-2,HMCN2,Homo sapiens (Human),5059,cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; response to stimulus [GO:0050896],response to stimulus [GO:0050896],cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615],calcium ion binding [GO:0005509],15164053; 14702039; 17974005
PTBP3,O95758,reviewed,PTBP3_HUMAN,Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1),PTBP3 ROD1,Homo sapiens (Human),552,nucleus [GO:0005634]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; anatomical structure morphogenesis [GO:0009653]; erythrocyte maturation [GO:0043249]; mRNA processing [GO:0006397]; negative regulation of RNA splicing [GO:0033119]; regulation of cell differentiation [GO:0045595]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380],anatomical structure morphogenesis [GO:0009653]; erythrocyte maturation [GO:0043249]; mRNA processing [GO:0006397]; negative regulation of RNA splicing [GO:0033119]; regulation of cell differentiation [GO:0045595]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380],nucleus [GO:0005634],mRNA binding [GO:0003729]; RNA binding [GO:0003723],14702039; 17974005; 15164053; 15489334; 10207106; 18335065; 19413330; 19441079; 19608861; 20937273; 21269460; 23186163
TMEM218,A2RU14,reviewed,TM218_HUMAN,Transmembrane protein 218,TMEM218,Homo sapiens (Human),115,cilium [GO:0005929]; membrane [GO:0016020],,cilium [GO:0005929]; membrane [GO:0016020],,15489334; 33791682; 35137054
FBXL6,Q8N531,reviewed,FBXL6_HUMAN,F-box/LRR-repeat protein 6 (F-box and leucine-rich repeat protein 6) (F-box protein FBL6) (FBL6A),FBXL6 FBL6,Homo sapiens (Human),539,cytosol [GO:0005829]; nucleus [GO:0005634]; SCF ubiquitin ligase complex [GO:0019005]; ubiquitin-protein transferase activity [GO:0004842]; entrainment of circadian clock by photoperiod [GO:0043153]; G2/M transition of mitotic cell cycle [GO:0000086]; proteolysis [GO:0006508]; regulation of cell cycle [GO:0051726]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146],entrainment of circadian clock by photoperiod [GO:0043153]; G2/M transition of mitotic cell cycle [GO:0000086]; proteolysis [GO:0006508]; regulation of cell cycle [GO:0051726]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146],cytosol [GO:0005829]; nucleus [GO:0005634]; SCF ubiquitin ligase complex [GO:0019005],ubiquitin-protein transferase activity [GO:0004842],14702039; 15489334; 10531035
DGKG,P49619,reviewed,DGKG_HUMAN,Diacylglycerol kinase gamma (DAG kinase gamma) (EC 2.7.1.107) (Diglyceride kinase gamma) (DGK-gamma),DGKG DAGK3,Homo sapiens (Human),791,cytoskeleton [GO:0005856]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; diacylglycerol kinase activity [GO:0004143]; lipid binding [GO:0008289]; diacylglycerol metabolic process [GO:0046339]; glycerolipid metabolic process [GO:0046486]; intracellular signal transduction [GO:0035556]; lipid phosphorylation [GO:0046834]; negative regulation of protein kinase C signaling [GO:0090038]; neuron development [GO:0048666]; phosphatidic acid biosynthetic process [GO:0006654]; platelet activation [GO:0030168]; protein kinase C-activating G protein-coupled receptor signaling pathway [GO:0007205]; regulation of dendrite development [GO:0050773],diacylglycerol metabolic process [GO:0046339]; glycerolipid metabolic process [GO:0046486]; intracellular signal transduction [GO:0035556]; lipid phosphorylation [GO:0046834]; negative regulation of protein kinase C signaling [GO:0090038]; neuron development [GO:0048666]; phosphatidic acid biosynthetic process [GO:0006654]; platelet activation [GO:0030168]; protein kinase C-activating G protein-coupled receptor signaling pathway [GO:0007205]; regulation of dendrite development [GO:0050773],cytoskeleton [GO:0005856]; cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886],ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; diacylglycerol kinase activity [GO:0004143]; lipid binding [GO:0008289],8034597; 10071200; 14702039; 16641997; 15489334; 16959974
ORAI1,Q96D31,reviewed,CRCM1_HUMAN,Calcium release-activated calcium channel protein 1 (Protein orai-1) (Transmembrane protein 142A),ORAI1 CRACM1 TMEM142A,Homo sapiens (Human),301,basolateral plasma membrane [GO:0016323]; calcium channel complex [GO:0034704]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; calcium channel activity [GO:0005262]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; store-operated calcium channel activity [GO:0015279]; adaptive immune response [GO:0002250]; calcium ion import [GO:0070509]; calcium ion transmembrane transport [GO:0070588]; mammary gland epithelium development [GO:0061180]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of insulin secretion [GO:0032024]; regulation of calcium ion transport [GO:0051924]; store-operated calcium entry [GO:0002115],adaptive immune response [GO:0002250]; calcium ion import [GO:0070509]; calcium ion transmembrane transport [GO:0070588]; mammary gland epithelium development [GO:0061180]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of insulin secretion [GO:0032024]; regulation of calcium ion transport [GO:0051924]; store-operated calcium entry [GO:0002115],basolateral plasma membrane [GO:0016323]; calcium channel complex [GO:0034704]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853],calcium channel activity [GO:0005262]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; store-operated calcium channel activity [GO:0015279],15489334; 14702039; 16147976; 16766533; 16807233; 16733527; 16645049; 17905723; 18669648; 19249086; 20887894; 20418871; 20354224; 22084111; 22641696; 22586105; 22494970; 23307288; 24275569; 24591628; 27185316; 26956484; 28219928; 30481768; 23109337; 24351972; 16582901; 28058752
BTAF1,O14981,reviewed,BTAF1_HUMAN,TATA-binding protein-associated factor 172 (EC 3.6.4.-) (ATP-dependent helicase BTAF1) (B-TFIID transcription factor-associated 170 kDa subunit) (TAF(II)170) (TBP-associated factor 172) (TAF-172),BTAF1 TAF172,Homo sapiens (Human),1849,"intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on DNA [GO:0008094]; ATP-dependent chromatin remodeler activity [GO:0140658]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; TBP-class protein binding [GO:0017025]; transcription coregulator activity [GO:0003712]; negative regulation of chromatin binding [GO:0035562]; negative regulation of DNA-templated transcription [GO:0045892]",negative regulation of chromatin binding [GO:0035562]; negative regulation of DNA-templated transcription [GO:0045892],intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654],"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on DNA [GO:0008094]; ATP-dependent chromatin remodeler activity [GO:0140658]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; TBP-class protein binding [GO:0017025]; transcription coregulator activity [GO:0003712]",9342322; 9488487; 14702039; 15164054; 10642510; 15509807; 21269460; 23186163
SALL2,Q9Y467,reviewed,SALL2_HUMAN,Sal-like protein 2 (Zinc finger protein 795) (Zinc finger protein SALL2) (Zinc finger protein Spalt-2) (Sal-2) (hSal2),SALL2 KIAA0360 SAL2 ZNF795,Homo sapiens (Human),1007,"nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; eye development [GO:0001654]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]",eye development [GO:0001654]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357],nucleus [GO:0005634],"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]",8975705; 9205841; 12168954; 12508121; 15489334; 16545361; 18669648; 18655026; 19413330; 19690332; 21406692; 23186163; 24412933
LYST,Q99698,reviewed,LYST_HUMAN,Lysosomal-trafficking regulator (Beige homolog),LYST CHS CHS1,Homo sapiens (Human),3801,cytosol [GO:0005829]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; protein kinase binding [GO:0019901]; defense response to bacterium [GO:0042742]; defense response to protozoan [GO:0042832]; defense response to virus [GO:0051607]; endosome to lysosome transport via multivesicular body sorting pathway [GO:0032510]; leukocyte chemotaxis [GO:0030595]; lysosome organization [GO:0007040]; mast cell secretory granule organization [GO:0033364]; melanosome organization [GO:0032438]; natural killer cell mediated cytotoxicity [GO:0042267]; phagocytosis [GO:0006909]; pigmentation [GO:0043473]; protein localization [GO:0008104]; protein transport [GO:0015031],defense response to bacterium [GO:0042742]; defense response to protozoan [GO:0042832]; defense response to virus [GO:0051607]; endosome to lysosome transport via multivesicular body sorting pathway [GO:0032510]; leukocyte chemotaxis [GO:0030595]; lysosome organization [GO:0007040]; mast cell secretory granule organization [GO:0033364]; melanosome organization [GO:0032438]; natural killer cell mediated cytotoxicity [GO:0042267]; phagocytosis [GO:0006909]; pigmentation [GO:0043473]; protein localization [GO:0008104]; protein transport [GO:0015031],cytosol [GO:0005829]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630],protein kinase binding [GO:0019901],8896560; 8717042; 9215680; 16710414; 11984006; 14759258; 11857544; 18669648; 19369195; 23186163; 24275569; 25216107; 25425525; 26478006; 27881733; 20368792; 24521565; 31906877
PTGIR,P43119,reviewed,PI2R_HUMAN,Prostacyclin receptor (Prostaglandin I2 receptor) (PGI receptor) (PGI2 receptor) (Prostanoid IP receptor),PTGIR PRIPR,Homo sapiens (Human),386,"cytosol [GO:0005829]; plasma membrane [GO:0005886]; guanyl-nucleotide exchange factor activity [GO:0005085]; prostacyclin receptor activity [GO:0016501]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell-cell signaling [GO:0007267]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; inflammatory response [GO:0006954]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; response to lipopolysaccharide [GO:0032496]","adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell-cell signaling [GO:0007267]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; inflammatory response [GO:0006954]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; response to lipopolysaccharide [GO:0032496]",cytosol [GO:0005829]; plasma membrane [GO:0005886],guanyl-nucleotide exchange factor activity [GO:0005085]; prostacyclin receptor activity [GO:0016501],7512962; 7514139; 7923647; 7665161; 15489334; 11895442; 12488443; 27613955; 15194446
PERCC1,A0A1W2PR82,reviewed,PERC1_HUMAN,Protein PERCC1 (Proline and glutamage-rich protein with a coiled coil domain),PERCC1,Homo sapiens (Human),267,digestive tract morphogenesis [GO:0048546]; enteroendocrine cell differentiation [GO:0035883],digestive tract morphogenesis [GO:0048546]; enteroendocrine cell differentiation [GO:0035883],,,15616553; 11157797; 31217582
TSHZ1,Q6ZSZ6,reviewed,TSH1_HUMAN,Teashirt homolog 1 (Antigen NY-CO-33) (Serologically defined colon cancer antigen 33),TSHZ1 SDCCAG33 TSH1,Homo sapiens (Human),1077,"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; anterior/posterior pattern specification [GO:0009952]; middle ear morphogenesis [GO:0042474]; regulation of transcription by RNA polymerase II [GO:0006357]; soft palate development [GO:0060023]",anterior/posterior pattern specification [GO:0009952]; middle ear morphogenesis [GO:0042474]; regulation of transcription by RNA polymerase II [GO:0006357]; soft palate development [GO:0060023],chromatin [GO:0000785]; nucleus [GO:0005634],"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]",14702039; 16177791; 9610721; 19343227; 22152683; 23186163
