Zero Clades,One Clades,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",PALB2,Q86YC2,reviewed,PALB2_HUMAN,Partner and localizer of BRCA2,PALB2 FANCN,Homo sapiens (Human),1186,,yes,,"Wilms tumour, medulloblastoma, AML ,breast","Fanconi anaemia N, breast cancer susceptibility","L, O, E",Rec,TSG,"F, N, Mis",,,,PALB2,partner and localizer of BRCA2,79728,16:23603170-23641310,1,,12.2
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",TERT,O14746,reviewed,TERT_HUMAN,"Telomerase reverse transcriptase, EC 2.7.7.49 (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2, TP2)",TERT EST2 TCS1 TRT,Homo sapiens (Human),1132,yes,yes,"melanoma, glioblastoma, hepatocellular carcinoma, bladder, skin basal cell, skin squamous cell, mesothelioma, medulloblastoma, other tumour types",melanoma,,"E, O",Dom,"oncogene, TSG",Promoter Mis,,yes  ,"Dyskeratosis congenita, Telomere-related pulmonary fibrosis and/or bone marrow failure  1",TERT,telomerase reverse transcriptase,7015,5:1253167-1295047,1,Yes,15.33
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",BRCA1,P38398,reviewed,BRCA1_HUMAN,"Breast cancer type 1 susceptibility protein, EC 2.3.2.27 (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1)",BRCA1 RNF53,Homo sapiens (Human),1863,yes,yes,ovarian,"breast, ovarian",hereditary breast/ovarian cancer,E,Rec,TSG,"D, Mis, N, F, S",,,,BRCA1,familial breast/ovarian cancer gene 1,672,17:43044295-43125483,1,Yes,21.31
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]",FANCA,O15360,reviewed,FANCA_HUMAN,"Fanconi anemia group A protein, Protein FACA",FANCA FAA FACA FANCH,Homo sapiens (Human),1455,,yes,,"AML, leukaemia",Fanconi anaemia A,L,Rec,TSG,"D, Mis, N, F, S",,,,FANCA,"Fanconi anemia, complementation group A",2175,16:89737549-89816646,1,,24.3
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]",RECQL4,O94761,reviewed,RECQ4_HUMAN,"ATP-dependent DNA helicase Q4, EC 3.6.4.12 (DNA helicase, RecQ-like type 4, RecQ4) (RTS) (RecQ protein-like 4)",RECQL4 RECQ4,Homo sapiens (Human),1208,,yes,,"osteosarcoma, skin basal cell, skin sqamous cell",Rothmund-Thompson syndrome,M,Rec,"oncogene, TSG","N, F, S",,,,RECQL4,RecQ protein-like 4,9401,8:144511291-144517826,1,Yes,24.3
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Callithrix jacchus', 'Aotus nancymaae', 'Saimiri boliviensis boliviensis', 'Cebus imitator', 'Cebus capucinus', 'Sapajus apella']]",SS18L1,O75177,reviewed,CREST_HUMAN,Calcium-responsive transactivator (SS18-like protein 1) (SYT homolog 1),SS18L1 CREST KIAA0693,Homo sapiens (Human),396,yes,,synovial sarcoma,,,M,Dom,fusion,T,SSX1,,,SS18L1,synovial sarcoma translocation gene on chromosome 18-like 1,26039,20:62143795-62182484,1,,13.33
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",SIRPA,P78324,reviewed,SHPS1_HUMAN,"Tyrosine-protein phosphatase non-receptor type substrate 1, SHP substrate 1, SHPS-1 (Brain Ig-like molecule with tyrosine-based activation motifs, Bit) (CD172 antigen-like family member A) (Inhibitory receptor SHPS-1) (Macrophage fusion receptor) (MyD-1 antigen) (Signal-regulatory protein alpha-1, Sirp-alpha-1) (Signal-regulatory protein alpha-2, Sirp-alpha-2) (Signal-regulatory protein alpha-3, Sirp-alpha-3) (p84) (CD antigen CD172a)",SIRPA BIT MFR MYD1 PTPNS1 SHPS1 SIRP,Homo sapiens (Human),504,yes,,"HNSCC, colorectal cancer, Lung SCC",,,E,,TSG,"O, F",,,,SIRPA,signal regulatory protein alpha,140885,20:1894508-1940592,2,,13
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",RFWD3,Q6PCD5,reviewed,RFWD3_HUMAN,"E3 ubiquitin-protein ligase RFWD3, EC 2.3.2.27 (RING finger and WD repeat domain-containing protein 3) (RING finger protein 201)",RFWD3 RNF201,Homo sapiens (Human),774,yes,yes,lung cancer,,Fanconi anemia W,E,,TSG,D,,,,RFWD3,ring finger and WD repeat domain 3,55159,16:74621394-74666881,2,,23.1
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",SSX1,Q16384,reviewed,SSX1_HUMAN,"Protein SSX1 (Cancer/testis antigen 5.1, CT5.1) (Synovial sarcoma, X breakpoint 1)",SSX1,Homo sapiens (Human),188,yes,,synovial sarcoma,,,M,Dom,"oncogene, fusion",T,SS18,,,SSX1,"synovial sarcoma, X breakpoint 1",6756,X:48255317-48267444,1,,11.23
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina']]",SSX2,Q16385,reviewed,SSX2_HUMAN,"Protein SSX2 (Cancer/testis antigen 5.2, CT5.2) (Synovial sarcoma, X breakpoint 2) (Tumor antigen HOM-MEL-40)",SSX2 SSX2A; SSX2B,Homo sapiens (Human),188,yes,,synovial sarcoma,,,M,Dom,"oncogene, fusion",T,SS18,,,SSX2,"synovial sarcoma, X breakpoint 2",6757,X:52696896-52707161,1,,11.22
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina']]",S100A7,P31151,reviewed,S10A7_HUMAN,Protein S100-A7 (Psoriasin) (S100 calcium-binding protein A7),S100A7 PSOR1 S100A7C,Homo sapiens (Human),101,yes,,"melanoma, T-cell lymphoma",,,"E, L",,fusion,"Mis, T",VAV1,,,S100A7,S100 calcium binding protein A7,6278,1:153457744-153460701,2,,21.3
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina']]",CD79A,P11912,reviewed,CD79A_HUMAN,B-cell antigen receptor complex-associated protein alpha chain (Ig-alpha) (MB-1 membrane glycoprotein) (Membrane-bound immunoglobulin-associated protein) (Surface IgM-associated protein) (CD antigen CD79a),CD79A IGA MB1,Homo sapiens (Human),226,yes,,"DLBCL, WM",,,L,Dom,oncogene,S,,yes  ,Agammaglobulinaemia,CD79A,"CD79a molecule, immunoglobulin-associated alpha",973,19:41877120-41881372,1,Yes,13.2
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina']]",SSX4,O60224,reviewed,SSX4_HUMAN,"Protein SSX4 (Cancer/testis antigen 5.4, CT5.4)",SSX4 SSX4A; SSX4B,Homo sapiens (Human),188,yes,,synovial sarcoma,,,M,Dom,"oncogene, fusion",T,SS18,,,SSX4,"synovial sarcoma, X breakpoint 4",6759,X:48383527-48393347,1,,11.23
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Chlorocebus sabaeus', 'Mandrillus leucophaeus', 'Cercocebus atys', 'Papio anubis', 'Theropithecus gelada', 'Macaca fascicularis', 'Macaca mulatta', 'Macaca nemestrina']]",BRCA2,P51587,reviewed,BRCA2_HUMAN,Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein),BRCA2 FACD FANCD1,Homo sapiens (Human),3418,yes,yes,"breast, ovarian, pancreatic","breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)",hereditary breast/ovarian cancer,"L, E",Rec,TSG,"D, Mis, N, F, S",,,,BRCA2,familial breast/ovarian cancer gene 2,675,13:32315474-32400266,1,Yes,13.1
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",PTPRC,P08575,reviewed,PTPRC_HUMAN,"Receptor-type tyrosine-protein phosphatase C, EC 3.1.3.48 (Leukocyte common antigen, L-CA) (T200) (CD antigen CD45)",PTPRC CD45,Homo sapiens (Human),1306,yes,,T-ALL,,,L,Rec,TSG,"Mis, N, S",,,,PTPRC,"protein tyrosine phosphatase, receptor type, C",5788,1:198639007-198757476,1,,32.1
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",ATR,P20848,reviewed,A1ATR_HUMAN,Alpha-1-antitrypsin-related protein (Protease inhibitor 1-like) (Serpin A2),SERPINA2 ARGS ATR PIL SERPINA2P,Homo sapiens (Human),421,yes,yes,"endometrial, gastric, epithelial ovarian, myeloma",oropharyngeal,familial cutaneous telangiectasia and cancer syndrome,"E, L",Dom,TSG,"F, Mis",,yes  ,Seckel syndrome 1,ATR,ATR serine/threonine kinase,545,3:142449237-142578826,1,Yes,23
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]","[['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",KNL1,Q8NG31,reviewed,KNL1_HUMAN,"Kinetochore scaffold 1 (ALL1-fused gene from chromosome 15q14 protein, AF15q14) (Bub-linking kinetochore protein, Blinkin) (Cancer susceptibility candidate gene 5 protein) (Cancer/testis antigen 29, CT29) (Kinetochore-null protein 1) (Protein CASC5) (Protein D40/AF15q14)",KNL1 CASC5 KIAA1570,Homo sapiens (Human),2342,yes,,AML,,,L,Dom,"TSG, fusion",T,KMT2A,,,KNL1,cancer susceptibility candidate 5,57082,15:40594020-40664342,1,Yes,15.1
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]",[],ZRSR2,Q15696,reviewed,U2AFM_HUMAN,"U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2 (CCCH type zinc finger, RNA-binding motif and serine/arginine rich protein 2) (Renal carcinoma antigen NY-REN-20) (U2(RNU2) small nuclear RNA auxiliary factor 1-like 2) (U2AF35-related protein, URP)",ZRSR2 U2AF1-RS2 U2AF1L2 U2AF1RS2 URP,Homo sapiens (Human),482,yes,,"MDS, CLL",,,L,Rec,TSG,"F, S, Mis",,,,ZRSR2,"zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2",8233,X:15790472-15823260,1,Yes,22.2
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]",[],CD209,Q9NNX6,reviewed,CD209_HUMAN,"CD209 antigen (C-type lectin domain family 4 member L) (Dendritic cell-specific ICAM-3-grabbing non-integrin 1, DC-SIGN, DC-SIGN1) (CD antigen CD209)",CD209 CLEC4L,Homo sapiens (Human),404,yes,,prostate carcinoma,,,E,,,Mis,,,,CD209,CD209 molecule,30835,19:7739994-7747534,2,,13.2
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]",[],CNBD1,Q8NA66,reviewed,CNBD1_HUMAN,Cyclic nucleotide-binding domain-containing protein 1,CNBD1,Homo sapiens (Human),436,yes,,"gastric cancer, colon cancer",,,E,,,Mis,,,,CNBD1,cyclic nucleotide binding domain containing 1,168975,8:86866445-87382859,2,,21.3
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]",[],CD79B,P40259,reviewed,CD79B_HUMAN,B-cell antigen receptor complex-associated protein beta chain (B-cell-specific glycoprotein B29) (Ig-beta) (Immunoglobulin-associated B29 protein) (CD antigen CD79b),CD79B B29 IGB,Homo sapiens (Human),229,yes,,"DLBCL, WM",,,L,Dom,oncogene,"Mis, S",,yes  ,Agammaglobulinaemia,CD79B,"CD79b molecule, immunoglobulin-associated beta",974,17:63928740-63932336,1,Yes,23.3
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus']]",[],MGMT,P16455,reviewed,MGMT_HUMAN,"Methylated-DNA--protein-cysteine methyltransferase, EC 2.1.1.63 (6-O-methylguanine-DNA methyltransferase, MGMT) (O-6-methylguanine-DNA-alkyltransferase)",MGMT,Homo sapiens (Human),207,yes,,glioma,,,O,,TSG,D,,,,MGMT,O-6-methylguanine-DNA methyltransferase,4255,10:129467184-129768007,2,,26.3
"[['Otolemur garnettii', 'Prolemur simus', 'Lemur catta', 'Propithecus coquereli', 'Microcebus murinus'], ['Piliocolobus tephrosceles', 'Colobus angolensis palliatus', 'Trachypithecus francoisi', 'Rhinopithecus roxellana', 'Rhinopithecus bieti']]",[],KLK2,P20151,reviewed,KLK2_HUMAN,"Kallikrein-2, EC 3.4.21.35 (Glandular kallikrein-1, hGK-1) (Tissue kallikrein-2)",KLK2,Homo sapiens (Human),261,yes,,prostate,,,E,Dom,fusion,T,ETV4,,,KLK2,kallikrein-related peptidase 2,3817,19:50873249-50880567,1,,13.33
