From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs	PubMed ID
TIMP2	P16035	reviewed	TIMP2_HUMAN	Metalloproteinase inhibitor 2 (CSC-21K) (Tissue inhibitor of metalloproteinases 2) (TIMP-2)	TIMP2	Homo sapiens (Human)	220	negative regulation of endopeptidase activity [GO:0010951]; negative regulation of membrane protein ectodomain proteolysis [GO:0051045]; negative regulation of metallopeptidase activity [GO:1905049]; response to cytokine [GO:0034097]; response to hormone [GO:0009725]; response to organic substance [GO:0010033]	collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]; metalloendopeptidase inhibitor activity [GO:0008191]; molecular function inhibitor activity [GO:0140678]; peptidase inhibitor activity [GO:0030414]; protease binding [GO:0002020]; zinc ion binding [GO:0008270]; negative regulation of endopeptidase activity [GO:0010951]; negative regulation of membrane protein ectodomain proteolysis [GO:0051045]; negative regulation of metallopeptidase activity [GO:1905049]; response to cytokine [GO:0034097]; response to hormone [GO:0009725]; response to organic substance [GO:0010033]	GO:0002020; GO:0005576; GO:0005615; GO:0008191; GO:0008270; GO:0009725; GO:0010033; GO:0010951; GO:0030414; GO:0031012; GO:0034097; GO:0035580; GO:0051045; GO:0062023; GO:0140678; GO:1904724; GO:1904813; GO:1905049	2380196; 2157214; 8810321; 15489334; 2793861; 1480041; 2554304; 1730286; 8112602; 1655733; 11710594; 7918391; 9705310; 9837731; 12032297; 24073280
TIMP2	A0A024R8V7	unreviewed	A0A024R8V7_HUMAN	Metalloproteinase inhibitor 2 (Tissue inhibitor of metalloproteinases 2)	TIMP2 hCG_95573	Homo sapiens (Human)	179		metalloendopeptidase inhibitor activity [GO:0008191]	GO:0008191	11181995
TIMP2	B4DFW2	unreviewed	B4DFW2_HUMAN	Metalloproteinase inhibitor 2 (Tissue inhibitor of metalloproteinases 2)	TIMP2 hCG_95573	Homo sapiens (Human)	143		metalloendopeptidase inhibitor activity [GO:0008191]	GO:0008191	11181995; 16625196
TIMP2	K7EIX4	unreviewed	K7EIX4_HUMAN	Metalloproteinase inhibitor 2 (Tissue inhibitor of metalloproteinases 2)	TIMP2	Homo sapiens (Human)	109		metalloendopeptidase inhibitor activity [GO:0008191]	GO:0008191	16625196
CYP27A1	Q02318	reviewed	CP27A_HUMAN	Sterol 26-hydroxylase, mitochondrial (EC 1.14.15.15) (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 26-hydroxylase) (Cytochrome P-450C27/25) (Cytochrome P450 27) (Sterol 27-hydroxylase) (Vitamin D(3) 25-hydroxylase)	CYP27A1 CYP27	Homo sapiens (Human)	531	bile acid biosynthetic process [GO:0006699]; calcitriol biosynthetic process from calciol [GO:0036378]; cholesterol catabolic process [GO:0006707]; cholesterol metabolic process [GO:0008203]; sterol metabolic process [GO:0016125]	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; 3-alpha,7-alpha,12-alpha-trihydroxycholestan-26-al 26-oxidoreductase activity [GO:0047103]; cholestanetetraol 26-dehydrogenase activity [GO:0047748]; cholestanetriol 26-monooxygenase activity [GO:0047749]; cholesterol 26-hydroxylase activity [GO:0031073]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; steroid hydroxylase activity [GO:0008395]; vitamin D3 25-hydroxylase activity [GO:0030343]; bile acid biosynthetic process [GO:0006699]; calcitriol biosynthetic process from calciol [GO:0036378]; cholesterol catabolic process [GO:0006707]; cholesterol metabolic process [GO:0008203]; sterol metabolic process [GO:0016125]	GO:0005506; GO:0005739; GO:0005743; GO:0005759; GO:0006699; GO:0006707; GO:0008203; GO:0008395; GO:0016125; GO:0020037; GO:0030343; GO:0031073; GO:0036378; GO:0047103; GO:0047748; GO:0047749	1708392; 7690968; 14702039; 15489334; 8514861; 9660774; 11412116; 12077124; 15465040; 21411718; 24275569; 28190002; 2019602; 7915755; 9186905; 9790667; 12000359
CYP27A1	C9J1K5	unreviewed	C9J1K5_HUMAN	Sterol 26-hydroxylase, mitochondrial	CYP27A1	Homo sapiens (Human)	221		heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0004497; GO:0005506; GO:0016705; GO:0020037	15815621; 24275569
CYP27A1	F8WD90	unreviewed	F8WD90_HUMAN	Sterol 26-hydroxylase, mitochondrial	CYP27A1	Homo sapiens (Human)	115				15815621
CYP27A1	Q96T86	unreviewed	Q96T86_HUMAN	Sterol 27-hydroxylase	CYP27A1	Homo sapiens (Human)	41				12957378
TMEM232	C9JQI7	reviewed	TM232_HUMAN	Transmembrane protein 232	TMEM232	Homo sapiens (Human)	657		membrane [GO:0016020]	GO:0016020	14702039; 15372022
TMEM232	D6RC30	unreviewed	D6RC30_HUMAN	Transmembrane protein 232	TMEM232	Homo sapiens (Human)	247				15372022
TMEM232	D6REY3	unreviewed	D6REY3_HUMAN	Transmembrane protein 232	TMEM232	Homo sapiens (Human)	164				15372022
TMEM232	D6RF96	unreviewed	D6RF96_HUMAN	Transmembrane protein 232	TMEM232	Homo sapiens (Human)	119				15372022
TMEM232	E5RG73	unreviewed	E5RG73_HUMAN	Transmembrane protein 232	TMEM232	Homo sapiens (Human)	59				15372022
PCDHA8	Q9Y5H6	reviewed	PCDA8_HUMAN	Protocadherin alpha-8 (PCDH-alpha-8)	PCDHA8	Homo sapiens (Human)	950	cell adhesion [GO:0007155]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; nervous system development [GO:0007399]	plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; cell adhesion [GO:0007155]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; nervous system development [GO:0007399]	GO:0005509; GO:0005886; GO:0007155; GO:0007156; GO:0007399	10380929; 15372022; 15489334
PCDHA8	B2RN89	unreviewed	B2RN89_HUMAN	Protocadherin alpha 8	PCDHA8	Homo sapiens (Human)	814	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	GO:0005509; GO:0005886; GO:0007156	15489334
NLRP1	Q9C000	reviewed	NLRP1_HUMAN	NACHT, LRR and PYD domains-containing protein 1 (EC 3.4.-.-) (EC 3.6.4.-) (Caspase recruitment domain-containing protein 7) (Death effector filament-forming ced-4-like apoptosis protein) (Nucleotide-binding domain and caspase recruitment domain) [Cleaved into: NACHT, LRR and PYD domains-containing protein 1, C-terminus (NLRP1-CT); NACHT, LRR and PYD domains-containing protein 1, N-terminus (NLRP1-NT)]	NLRP1 CARD7 DEFCAP KIAA0926 NAC NALP1	Homo sapiens (Human)	1473	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; antiviral innate immune response [GO:0140374]; apoptotic process [GO:0006915]; cellular response to UV-B [GO:0071493]; defense response to bacterium [GO:0042742]; defense response to virus [GO:0051607]; inflammatory response [GO:0006954]; neuron apoptotic process [GO:0051402]; NLRP1 inflammasome complex assembly [GO:1904784]; pattern recognition receptor signaling pathway [GO:0002221]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; protein homooligomerization [GO:0051260]; pyroptosis [GO:0070269]; regulation of apoptotic process [GO:0042981]; regulation of inflammatory response [GO:0050727]; response to muramyl dipeptide [GO:0032495]; self proteolysis [GO:0097264]; stress-activated protein kinase signaling cascade [GO:0031098]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; inflammasome complex [GO:0061702]; NLRP1 inflammasome complex [GO:0072558]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cysteine-type endopeptidase activator activity [GO:0140608]; cysteine-type endopeptidase activator activity involved in apoptotic process [GO:0008656]; double-stranded DNA binding [GO:0003690]; double-stranded RNA binding [GO:0003725]; endopeptidase activity [GO:0004175]; enzyme binding [GO:0019899]; peptidase activity [GO:0008233]; protein domain specific binding [GO:0019904]; protein self-association [GO:0043621]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; antiviral innate immune response [GO:0140374]; apoptotic process [GO:0006915]; cellular response to UV-B [GO:0071493]; defense response to bacterium [GO:0042742]; defense response to virus [GO:0051607]; inflammatory response [GO:0006954]; neuron apoptotic process [GO:0051402]; NLRP1 inflammasome complex assembly [GO:1904784]; pattern recognition receptor signaling pathway [GO:0002221]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; protein homooligomerization [GO:0051260]; pyroptosis [GO:0070269]; regulation of apoptotic process [GO:0042981]; regulation of inflammatory response [GO:0050727]; response to muramyl dipeptide [GO:0032495]; self proteolysis [GO:0097264]; stress-activated protein kinase signaling cascade [GO:0031098]	GO:0002221; GO:0003690; GO:0003725; GO:0004175; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006915; GO:0006919; GO:0006954; GO:0008233; GO:0008656; GO:0016887; GO:0019899; GO:0019904; GO:0031098; GO:0032495; GO:0032731; GO:0042742; GO:0042981; GO:0043621; GO:0050727; GO:0050729; GO:0051260; GO:0051402; GO:0051607; GO:0061702; GO:0070269; GO:0071493; GO:0072558; GO:0097264; GO:0140374; GO:0140608; GO:1904784	11270363; 11250163; 11076957; 11113115; 10231032; 16625196; 15489334; 17974005; 14702039; 22665479; 12191486; 15285719; 15212762; 17418785; 17431422; 17164409; 17349957; 18511561; 32558991; 19651869; 22087307; 22801494; 16439990; 24439873; 26347139; 25562666; 26086088; 30291141; 30096351; 31525884; 32051255; 33243852; 33852854; 33410748; 35594856; 33731929; 35618833; 35857590; 14527388; 33731932; 33420028; 33420033; 17377159; 23349227; 27662089; 27965258; 31484767; 33093214
NLRP1	A0A8V8TNG2	unreviewed	A0A8V8TNG2_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	1198				16625196
NLRP1	A0A8V8TNH7	unreviewed	A0A8V8TNH7_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	1368				16625196
NLRP1	A0A8V8TNJ2	unreviewed	A0A8V8TNJ2_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	1477				16625196
NLRP1	A0A8V8TNK6	unreviewed	A0A8V8TNK6_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	241				16625196
NLRP1	A0A8V8TNN3	unreviewed	A0A8V8TNN3_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	1371				16625196
NLRP1	A0A8V8TNP3	unreviewed	A0A8V8TNP3_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	1386				16625196
NLRP1	A0A8V8TNP9	unreviewed	A0A8V8TNP9_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	211				16625196
NLRP1	A0A8V8TNR1	unreviewed	A0A8V8TNR1_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	1408				16625196
NLRP1	A0A8V8TNR8	unreviewed	A0A8V8TNR8_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	235				16625196
NLRP1	A0A8V8TNS2	unreviewed	A0A8V8TNS2_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	175				16625196
NLRP1	A0A8V8TNS7	unreviewed	A0A8V8TNS7_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	843				16625196
NLRP1	A0A8V8TNU7	unreviewed	A0A8V8TNU7_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	70				16625196
NLRP1	A0A8V8TNV1	unreviewed	A0A8V8TNV1_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	229				16625196
NLRP1	A0A8V8TNV2	unreviewed	A0A8V8TNV2_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	1331				16625196
NLRP1	A0A8V8TNV8	unreviewed	A0A8V8TNV8_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	1209				16625196
NLRP1	A0A8V8TP02	unreviewed	A0A8V8TP02_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	789				16625196
NLRP1	A0A8V8TP05	unreviewed	A0A8V8TP05_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	88				16625196
NLRP1	A0A8V8TP07	unreviewed	A0A8V8TP07_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	900				16625196
NLRP1	A0A8V8TP12	unreviewed	A0A8V8TP12_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	108				16625196
NLRP1	A0A8V8TP14	unreviewed	A0A8V8TP14_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	263				16625196
NLRP1	A0A8V8TP36	unreviewed	A0A8V8TP36_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	98				16625196
NLRP1	A0A8V8TP42	unreviewed	A0A8V8TP42_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	160				16625196
NLRP1	A0A8V8TP48	unreviewed	A0A8V8TP48_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	1341				16625196
NLRP1	A0A8V8TP94	unreviewed	A0A8V8TP94_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	325				16625196
NLRP1	A0A8V8TPB4	unreviewed	A0A8V8TPB4_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	129				16625196
NLRP1	A0A8V8TPB9	unreviewed	A0A8V8TPB9_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	267				16625196
NLRP1	A0A8V8TPC6	unreviewed	A0A8V8TPC6_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	1001				16625196
NLRP1	A0A8V8TPW2	unreviewed	A0A8V8TPW2_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	1327				16625196
NLRP1	A0A8V8TQ11	unreviewed	A0A8V8TQ11_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	529				16625196
NLRP1	A0A8V8TQ17	unreviewed	A0A8V8TQ17_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	1162				16625196
NLRP1	A0A8V8TQ55	unreviewed	A0A8V8TQ55_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	288				16625196
NLRP1	A0A8V8TQ79	unreviewed	A0A8V8TQ79_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	258				16625196
NLRP1	A0A8V8TQ83	unreviewed	A0A8V8TQ83_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	1061				16625196
NLRP1	A0A8V8TQ85	unreviewed	A0A8V8TQ85_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	1017				16625196
NLRP1	A0A8V8TQ99	unreviewed	A0A8V8TQ99_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	111				16625196
NLRP1	A0A8V8TQA8	unreviewed	A0A8V8TQA8_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	247				16625196
NLRP1	A0A8V8TQB3	unreviewed	A0A8V8TQB3_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	907				16625196
NLRP1	A0A8V8TQB8	unreviewed	A0A8V8TQB8_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	56				16625196
NLRP1	A0A8V8TQE6	unreviewed	A0A8V8TQE6_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	790				16625196
NLRP1	A0A8V8TQI5	unreviewed	A0A8V8TQI5_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	967				16625196
NLRP1	A0A8V8TQK4	unreviewed	A0A8V8TQK4_HUMAN	NACHT, LRR and PYD domains-containing protein 1	NLRP1	Homo sapiens (Human)	144				16625196
