From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	PubMed ID
ELOVL6	Q9H5J4	reviewed	ELOV6_HUMAN	Elongation of very long chain fatty acids protein 6 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL6) (ELOVL fatty acid elongase 6) (ELOVL FA elongase 6) (Fatty acid elongase 2) (hELO2) (Fatty acyl-CoA elongase) (Long-chain fatty-acyl elongase) (Very long chain 3-ketoacyl-CoA synthase 6) (Very long chain 3-oxoacyl-CoA synthase 6)	ELOVL6 FACE LCE	Homo sapiens (Human)	265	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fatty acid elongase complex [GO:0009923]; fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]; fatty acid elongation, monounsaturated fatty acid [GO:0034625]; fatty acid elongation, polyunsaturated fatty acid [GO:0034626]; fatty acid elongation, saturated fatty acid [GO:0019367]; long-chain fatty acid biosynthetic process [GO:0042759]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; positive regulation of cold-induced thermogenesis [GO:0120162]; sphingolipid biosynthetic process [GO:0030148]; unsaturated fatty acid biosynthetic process [GO:0006636]; very long-chain fatty acid biosynthetic process [GO:0042761]	fatty acid elongation, monounsaturated fatty acid [GO:0034625]; fatty acid elongation, polyunsaturated fatty acid [GO:0034626]; fatty acid elongation, saturated fatty acid [GO:0019367]; long-chain fatty acid biosynthetic process [GO:0042759]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; positive regulation of cold-induced thermogenesis [GO:0120162]; sphingolipid biosynthetic process [GO:0030148]; unsaturated fatty acid biosynthetic process [GO:0006636]; very long-chain fatty acid biosynthetic process [GO:0042761]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fatty acid elongase complex [GO:0009923]	fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]	14702039; 15815621; 15489334; 19575253; 20937905; 25003994; 26214738
ELOVL6	A1LV06	unreviewed	A1LV06_HUMAN	Elongation of very long chain fatty acids protein 6 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL6) (ELOVL fatty acid elongase 6) (ELOVL FA elongase 6) (Very long chain 3-ketoacyl-CoA synthase 6) (Very long chain 3-oxoacyl-CoA synthase 6)	ELOVL6 hCG_21424	Homo sapiens (Human)	265	endoplasmic reticulum membrane [GO:0005789]; fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]; fatty acid elongation, monounsaturated fatty acid [GO:0034625]; fatty acid elongation, saturated fatty acid [GO:0019367]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; positive regulation of cold-induced thermogenesis [GO:0120162]; unsaturated fatty acid biosynthetic process [GO:0006636]; very long-chain fatty acid biosynthetic process [GO:0042761]	fatty acid elongation, monounsaturated fatty acid [GO:0034625]; fatty acid elongation, saturated fatty acid [GO:0019367]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; positive regulation of cold-induced thermogenesis [GO:0120162]; unsaturated fatty acid biosynthetic process [GO:0006636]; very long-chain fatty acid biosynthetic process [GO:0042761]	endoplasmic reticulum membrane [GO:0005789]	fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]	11181995
ELOVL6	D6RBP4	unreviewed	D6RBP4_HUMAN	Elongation of very long chain fatty acids protein (EC 2.3.1.199) (Very-long-chain 3-oxoacyl-CoA synthase)	ELOVL6	Homo sapiens (Human)	98	endoplasmic reticulum membrane [GO:0005789]; fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]; fatty acid elongation [GO:0030497]	fatty acid elongation [GO:0030497]	endoplasmic reticulum membrane [GO:0005789]	fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]	15815621
ELOVL6	D6RCU0	unreviewed	D6RCU0_HUMAN	Elongation of very long chain fatty acids protein (EC 2.3.1.199) (Very-long-chain 3-oxoacyl-CoA synthase)	ELOVL6	Homo sapiens (Human)	136	endoplasmic reticulum membrane [GO:0005789]; fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]; fatty acid elongation [GO:0030497]	fatty acid elongation [GO:0030497]	endoplasmic reticulum membrane [GO:0005789]	fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]	15815621
ELOVL6	D6RHI2	unreviewed	D6RHI2_HUMAN	Elongation of very long chain fatty acids protein (EC 2.3.1.199) (Very-long-chain 3-oxoacyl-CoA synthase)	ELOVL6	Homo sapiens (Human)	108	endoplasmic reticulum membrane [GO:0005789]; fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]; fatty acid elongation [GO:0030497]	fatty acid elongation [GO:0030497]	endoplasmic reticulum membrane [GO:0005789]	fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]	15815621
CYB561D1	Q8N8Q1	reviewed	C56D1_HUMAN	Probable transmembrane reductase CYB561D1 (EC 7.2.1.3) (Cytochrome b561 domain-containing protein 1)	CYB561D1	Homo sapiens (Human)	229	membrane [GO:0016020]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; transmembrane ascorbate ferrireductase activity [GO:0140571]; transmembrane monodehydroascorbate reductase activity [GO:0140575]		membrane [GO:0016020]	heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; transmembrane ascorbate ferrireductase activity [GO:0140571]; transmembrane monodehydroascorbate reductase activity [GO:0140575]	14702039; 16344560; 16710414; 15489334
CYB561D1	E9PIJ2	unreviewed	E9PIJ2_HUMAN	ascorbate ferrireductase (transmembrane) (EC 7.2.1.3)	CYB561D1	Homo sapiens (Human)	64	membrane [GO:0016020]; transmembrane monodehydroascorbate reductase activity [GO:0140575]		membrane [GO:0016020]	transmembrane monodehydroascorbate reductase activity [GO:0140575]	16710414
CYB561D1	E9PIK3	unreviewed	E9PIK3_HUMAN	Probable transmembrane reductase CYB561D1	CYB561D1	Homo sapiens (Human)	54					16710414
CYB561D1	E9PM70	unreviewed	E9PM70_HUMAN	ascorbate ferrireductase (transmembrane) (EC 7.2.1.3)	CYB561D1	Homo sapiens (Human)	55	membrane [GO:0016020]; transmembrane monodehydroascorbate reductase activity [GO:0140575]		membrane [GO:0016020]	transmembrane monodehydroascorbate reductase activity [GO:0140575]	16710414
CYB561D1	E9PQU0	unreviewed	E9PQU0_HUMAN	ascorbate ferrireductase (transmembrane) (EC 7.2.1.3)	CYB561D1	Homo sapiens (Human)	231	membrane [GO:0016020]; transmembrane monodehydroascorbate reductase activity [GO:0140575]		membrane [GO:0016020]	transmembrane monodehydroascorbate reductase activity [GO:0140575]	16710414
CNP	P09543	reviewed	CN37_HUMAN	2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)	CNP	Homo sapiens (Human)	421	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; melanosome [GO:0042470]; membrane [GO:0016020]; microtubule [GO:0005874]; microvillus [GO:0005902]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; myelin sheath abaxonal region [GO:0035748]; myelin sheath adaxonal region [GO:0035749]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; pseudopodium [GO:0031143]; synapse [GO:0045202]; 2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]; cyclic nucleotide binding [GO:0030551]; RNA binding [GO:0003723]; adult locomotory behavior [GO:0008344]; aging [GO:0007568]; axonogenesis [GO:0007409]; chemical synaptic transmission [GO:0007268]; cyclic nucleotide catabolic process [GO:0009214]; forebrain development [GO:0030900]; microtubule cytoskeleton organization [GO:0000226]; oligodendrocyte differentiation [GO:0048709]; regulation of mitochondrial membrane permeability [GO:0046902]; response to lipopolysaccharide [GO:0032496]; response to toxic substance [GO:0009636]; substantia nigra development [GO:0021762]	adult locomotory behavior [GO:0008344]; aging [GO:0007568]; axonogenesis [GO:0007409]; chemical synaptic transmission [GO:0007268]; cyclic nucleotide catabolic process [GO:0009214]; forebrain development [GO:0030900]; microtubule cytoskeleton organization [GO:0000226]; oligodendrocyte differentiation [GO:0048709]; regulation of mitochondrial membrane permeability [GO:0046902]; response to lipopolysaccharide [GO:0032496]; response to toxic substance [GO:0009636]; substantia nigra development [GO:0021762]	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; melanosome [GO:0042470]; membrane [GO:0016020]; microtubule [GO:0005874]; microvillus [GO:0005902]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; myelin sheath abaxonal region [GO:0035748]; myelin sheath adaxonal region [GO:0035749]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; pseudopodium [GO:0031143]; synapse [GO:0045202]	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]; cyclic nucleotide binding [GO:0030551]; RNA binding [GO:0003723]	1385234; 2835044; 8392017; 1360194; 16625196; 15489334; 9268698; 12643545; 17081065; 19413330; 21269460; 23186163; 24275569; 25944712; 15713463; 32128616
CNP	A0A024R1T5	unreviewed	A0A024R1T5_HUMAN	2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)	CNP hCG_1771539	Homo sapiens (Human)	401	melanosome [GO:0042470]; plasma membrane [GO:0005886]; 2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]; RNA binding [GO:0003723]; cyclic nucleotide catabolic process [GO:0009214]	cyclic nucleotide catabolic process [GO:0009214]	melanosome [GO:0042470]; plasma membrane [GO:0005886]	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]; RNA binding [GO:0003723]	11181995
CNP	C9K0L8	unreviewed	C9K0L8_HUMAN	2',3'-cyclic-nucleotide 3'-phosphodiesterase (EC 3.1.4.37)	CNP	Homo sapiens (Human)	144	plasma membrane [GO:0005886]; 2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]; cyclic nucleotide catabolic process [GO:0009214]	cyclic nucleotide catabolic process [GO:0009214]	plasma membrane [GO:0005886]	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]	16625196; 21269460; 24275569; 25944712
CNP	K7EN66	unreviewed	K7EN66_HUMAN	2',3'-cyclic-nucleotide 3'-phosphodiesterase (EC 3.1.4.37)	CNP	Homo sapiens (Human)	120	membrane [GO:0016020]; 2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]; cyclic nucleotide catabolic process [GO:0009214]	cyclic nucleotide catabolic process [GO:0009214]	membrane [GO:0016020]	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]	16625196; 21269460; 24275569; 25944712
CNP	K7EQ27	unreviewed	K7EQ27_HUMAN	2',3'-cyclic-nucleotide 3'-phosphodiesterase	CNP	Homo sapiens (Human)	49					16625196
CNP	K7ERC4	unreviewed	K7ERC4_HUMAN	2',3'-cyclic-nucleotide 3'-phosphodiesterase (EC 3.1.4.37)	CNP	Homo sapiens (Human)	164	melanosome [GO:0042470]; plasma membrane [GO:0005886]; 2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]; cyclic nucleotide catabolic process [GO:0009214]	cyclic nucleotide catabolic process [GO:0009214]	melanosome [GO:0042470]; plasma membrane [GO:0005886]	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]	16625196; 19413330; 21269460; 23186163; 24275569; 25944712
CNP	K7ERZ0	unreviewed	K7ERZ0_HUMAN	2',3'-cyclic-nucleotide 3'-phosphodiesterase (EC 3.1.4.37)	CNP	Homo sapiens (Human)	153	plasma membrane [GO:0005886]; 2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]; cyclic nucleotide catabolic process [GO:0009214]	cyclic nucleotide catabolic process [GO:0009214]	plasma membrane [GO:0005886]	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]	16625196; 21269460; 24275569; 25944712
CSN1S1	P47710	reviewed	CASA1_HUMAN	Alpha-S1-casein [Cleaved into: Casoxin-D]	CSN1S1 CASA CSN1	Homo sapiens (Human)	185	extracellular region [GO:0005576]; extracellular space [GO:0005615]; response to 11-deoxycorticosterone [GO:1903496]; response to dehydroepiandrosterone [GO:1903494]; response to estradiol [GO:0032355]; response to progesterone [GO:0032570]	response to 11-deoxycorticosterone [GO:1903496]; response to dehydroepiandrosterone [GO:1903494]; response to estradiol [GO:0032355]; response to progesterone [GO:0032570]	extracellular region [GO:0005576]; extracellular space [GO:0005615]		7619062; 15815621; 15489334; 8192860; 7749638; 17646876; 18847231; 12919330; 9050925; 20068231
CSN1S1	A0A0J9YVR3	unreviewed	A0A0J9YVR3_HUMAN	Alpha-S1-casein	CSN1S1	Homo sapiens (Human)	55					15815621; 20068231
CSN1S1	D6RF34	unreviewed	D6RF34_HUMAN	Alpha-S1-casein	CSN1S1	Homo sapiens (Human)	169	extracellular region [GO:0005576]		extracellular region [GO:0005576]		15815621; 20068231
CSN1S1	E9PDQ1	unreviewed	E9PDQ1_HUMAN	Alpha-S1-casein	CSN1S1	Homo sapiens (Human)	177	extracellular region [GO:0005576]		extracellular region [GO:0005576]		15815621; 20068231
CSN1S1	H0Y8K1	unreviewed	H0Y8K1_HUMAN	Alpha-S1-casein	CSN1S1	Homo sapiens (Human)	76	extracellular region [GO:0005576]		extracellular region [GO:0005576]		15815621
ANKRD30A	Q9BXX3	reviewed	AN30A_HUMAN	Ankyrin repeat domain-containing protein 30A (Serologically defined breast cancer antigen NY-BR-1)	ANKRD30A	Homo sapiens (Human)	1397					15164054; 11280766; 16364570; 16959974
ANKRD30A	A0A8Q3WLF6	unreviewed	A0A8Q3WLF6_HUMAN	Ankyrin repeat domain-containing protein 30A	ANKRD30A	Homo sapiens (Human)	349					15164054
ANKRD30A	Q5W026	unreviewed	Q5W026_HUMAN	Ankyrin repeat domain-containing protein 30A	ANKRD30A	Homo sapiens (Human)	1516					15164054
ANKRD30A	R4GNA2	unreviewed	R4GNA2_HUMAN	Ankyrin repeat domain-containing protein 30A	ANKRD30A	Homo sapiens (Human)	1341					15164054
DHRS4	Q9BTZ2	reviewed	DHRS4_HUMAN	Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase) (CR) (NADPH-dependent retinol dehydrogenase/reductase) (NRDR) (humNRDR) (Peroxisomal short-chain alcohol dehydrogenase) (PSCD) (SCAD-SRL) (Short chain dehydrogenase/reductase family 25C member 2) (Protein SDR25C2) (Short-chain dehydrogenase/reductase family member 4)	DHRS4 SDR25C2 UNQ851/PRO1800	Homo sapiens (Human)	278	cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; 3-keto sterol reductase activity [GO:0000253]; 3beta-hydroxy-5beta-steroid dehydrogenase activity [GO:0033703]; alcohol dehydrogenase [NAD(P)+] activity [GO:0018455]; carbonyl reductase (NADPH) activity [GO:0004090]; identical protein binding [GO:0042802]; NADP-retinol dehydrogenase activity [GO:0052650]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; alcohol metabolic process [GO:0006066]; cellular ketone metabolic process [GO:0042180]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; retinal metabolic process [GO:0042574]; steroid metabolic process [GO:0008202]	alcohol metabolic process [GO:0006066]; cellular ketone metabolic process [GO:0042180]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; retinal metabolic process [GO:0042574]; steroid metabolic process [GO:0008202]	cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]	3-keto sterol reductase activity [GO:0000253]; 3beta-hydroxy-5beta-steroid dehydrogenase activity [GO:0033703]; alcohol dehydrogenase [NAD(P)+] activity [GO:0018455]; carbonyl reductase (NADPH) activity [GO:0004090]; identical protein binding [GO:0042802]; NADP-retinol dehydrogenase activity [GO:0052650]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]	10333503; 15473316; 17230527; 14702039; 12975309; 12508121; 15489334; 18669648; 18571493; 19056333; 19027726; 21269460; 23128527; 22227495; 24275569; 25944712; 27323117
DHRS4	F5GWZ1	unreviewed	F5GWZ1_HUMAN	Dehydrogenase/reductase SDR family member 4	DHRS4	Homo sapiens (Human)	155					12508121; 21269460; 24275569; 25944712
DHRS4	H0YNP7	unreviewed	H0YNP7_HUMAN	Dehydrogenase/reductase SDR family member 4	DHRS4	Homo sapiens (Human)	61					12508121
CEP76	Q8TAP6	reviewed	CEP76_HUMAN	Centrosomal protein of 76 kDa (Cep76)	CEP76 C18orf9	Homo sapiens (Human)	659	centriole [GO:0005814]; centrosome [GO:0005813]; cytosol [GO:0005829]; protein-containing complex [GO:0032991]; regulation of centriole replication [GO:0046599]	regulation of centriole replication [GO:0046599]	centriole [GO:0005814]; centrosome [GO:0005813]; cytosol [GO:0005829]; protein-containing complex [GO:0032991]		14702039; 16177791; 15489334; 17974005; 14654843; 18691976; 18669648; 19460342; 19690332
CEP76	B4DP81	unreviewed	B4DP81_HUMAN	Centrosomal protein of 76 kDa (cDNA FLJ61148, moderately similar to Centrosomal protein of 76 kDa)	CEP76	Homo sapiens (Human)	112					16177791; 18691976; 18669648; 19690332
CEP76	K7EII2	unreviewed	K7EII2_HUMAN	Centrosomal protein of 76 kDa	CEP76	Homo sapiens (Human)	74					16177791
CEP76	K7EIV8	unreviewed	K7EIV8_HUMAN	Centrosomal protein of 76 kDa	CEP76	Homo sapiens (Human)	178					16177791
CEP76	K7EP44	unreviewed	K7EP44_HUMAN	Centrosomal protein of 76 kDa	CEP76	Homo sapiens (Human)	191	cytoplasm [GO:0005737]		cytoplasm [GO:0005737]		16177791
CEP76	K7EPF5	unreviewed	K7EPF5_HUMAN	Centrosomal protein of 76 kDa	CEP76	Homo sapiens (Human)	101					16177791
